"j","k","method","mean_ISE_MC","sd_ISE_MC","median_ISE_MC","IQR_ISE_MC"
1,7,"GM",0.000505855853835904,4.91545201359447e-05,0.000496716727245478,5.02711129842385e-05
1,7,"LL",3.97567544493506e-05,1.7372015740055e-06,3.99425396305412e-05,2.39575922428878e-06
1,7,"NW",0.000230515774671918,1.43672641075012e-05,0.000232059322151521,2.26613667749586e-05
1,10,"GM",0.000410363216797766,4.16977728127513e-05,0.000403368408549495,4.11140469704096e-05
1,10,"LL",3.45009919015286e-05,1.49157764974648e-06,3.46095898878887e-05,1.92823987485033e-06
1,10,"NW",0.000181695599271482,9.02840698196148e-06,0.000180799599806907,1.34916838880222e-05
1,14,"GM",0.000357297760822373,3.79437354556193e-05,0.000358054985522095,3.68016419447542e-05
1,14,"LL",2.38784546325071e-05,9.99003012316442e-07,2.3947276332771e-05,1.50048523126353e-06
1,14,"NW",0.000122971516202805,6.64406391470554e-06,0.000123274364891089,8.49560200282456e-06
2,7,"GM",0.00137327648219286,0.000173464485482623,0.00130971501771871,0.000151471805345594
2,7,"LL",0.000215994296664233,8.5804014587601e-06,0.000215319870117863,1.0408546328444e-05
2,7,"NW",0.000744092664295824,4.78759418703166e-05,0.00074211583215945,5.02312911506499e-05
2,10,"GM",0.001204772008964,0.000176855407862911,0.00115133377289915,9.89204693510803e-05
2,10,"LL",0.000131946363997117,5.03106316843488e-06,0.000131692953849039,6.69655301013952e-06
2,10,"NW",0.000521469569077152,2.02658698687962e-05,0.000522679591937741,2.64147497833295e-05
2,14,"GM",0.00107212925373903,0.00015155457324453,0.00104699998544204,0.000109150954767399
2,14,"LL",8.96080807978922e-05,4.04901991195131e-06,8.94248759241405e-05,5.41204714069138e-06
2,14,"NW",0.000323705225881892,1.99585947759882e-05,0.000322565804705701,2.99987617109817e-05
3,7,"GM",0.00243197110737824,0.000209841261173294,0.0024131761061501,0.000303640085878451
3,7,"LL",0.000595015185886726,5.36007402316889e-05,0.000593758740422647,6.74795534930562e-05
3,7,"NW",0.00148310488318004,0.000130906690669549,0.00149317167823877,0.000182780097509298
3,10,"GM",0.00188205269924961,0.000192909621992133,0.00186124000680237,0.000199486096276141
3,10,"LL",0.000354142519644423,3.35891639825075e-05,0.000353544598129903,4.44661418346702e-05
3,10,"NW",0.000896485901979835,8.73906704245171e-05,0.000899528401990183,0.000127178924428577
3,14,"GM",0.00162786677919924,0.000205157430666622,0.00159062517040381,0.000189428317109813
3,14,"LL",0.000238312513333561,2.22108878448094e-05,0.000240642812411912,3.40991726503498e-05
3,14,"NW",0.000512842698089732,5.2049790730966e-05,0.000508831477397094,7.66744301384497e-05
