"j","k","method","mean_ISE_MC","sd_ISE_MC","median_ISE_MC","IQR_ISE_MC"
1,7,"GM",0.00138255566374503,0.000124138554243838,0.00135844637116167,0.000173488808121977
1,7,"LL",0.00028600174032257,1.13785107552126e-05,0.000286500142038523,1.40821723855848e-05
1,7,"NW",0.000874771184475061,4.50928274750446e-05,0.000877561382835017,6.51478628592998e-05
1,10,"GM",0.00107118975329542,9.5752582323349e-05,0.00106776799875598,0.00013273100764986
1,10,"LL",0.000171752332308248,8.38226353442493e-06,0.000170977764812926,1.25090867718677e-05
1,10,"NW",0.00058945173703433,2.87389458687966e-05,0.000588337280033088,4.0766215749243e-05
1,14,"GM",0.000842169264059116,0.000116167529040081,0.000820035709037852,0.000145470455342568
1,14,"LL",0.000108147194639501,5.20461262069084e-06,0.000108656600935798,6.78818023331851e-06
1,14,"NW",0.000384435995416499,1.99494175177209e-05,0.000383774351798192,2.65259759085202e-05
2,7,"GM",0.00574627621684192,0.000698614680208115,0.00562538771444127,0.000601448693689797
2,7,"LL",0.00085284105992849,3.64922874342194e-05,0.000856505682787769,4.64655189604657e-05
2,7,"NW",0.00313048860552776,0.000242737030865439,0.00312763368993869,0.000371777716142262
2,10,"GM",0.00454774135325949,0.000390885224564769,0.00456312447692194,0.000421615715732837
2,10,"LL",0.000590552463546738,2.56181787037809e-05,0.000590569336299174,3.14200596514713e-05
2,10,"NW",0.00199001240402332,0.000125884096102072,0.00198935798402894,0.00015928487221282
2,14,"GM",0.00384365641813372,0.000466166897815406,0.00385286835712902,0.000562062313336187
2,14,"LL",0.000389924387048669,1.7281642920967e-05,0.000389925174399558,2.43802202167898e-05
2,14,"NW",0.001098921652119,6.45926627092542e-05,0.00110054777777461,8.76135710806626e-05
3,7,"GM",0.00384711092337068,0.000582412529633433,0.00363642118522262,0.000409520338958743
3,7,"LL",0.000391602143119056,1.503338049738e-05,0.000391842412515724,1.91492613402006e-05
3,7,"NW",0.00192106561404985,0.000139231029750685,0.00191359387466897,0.000179029441349445
3,10,"GM",0.00306358718835868,0.000592178505561873,0.00281690056321113,0.000486438047262445
3,10,"LL",0.000236715759032661,1.08115778229695e-05,0.000238050275250672,1.5891483353482e-05
3,10,"NW",0.00121084437534949,5.75731639502493e-05,0.00121690329159922,8.95490003487349e-05
3,14,"GM",0.00246353209672935,0.000380604089668407,0.00232061357882824,0.000232526999924605
3,14,"LL",0.000146234067127061,7.06984879703704e-06,0.00014533784211419,9.46448646246348e-06
3,14,"NW",0.000664749992476923,4.33240014213839e-05,0.000666998365616536,6.04133960324531e-05
