"j","k","method","mean_ISE_MC","sd_ISE_MC","median_ISE_MC","IQR_ISE_MC"
1,7,"LL",3.03401728491942e-05,1.81086608943711e-06,3.0324113918016e-05,2.38344056805742e-06
1,7,"NW",0.000106312549301864,6.1801072298693e-06,0.000106122616603206,8.05339547869245e-06
1,10,"LL",2.02663451791131e-05,1.1399894203372e-06,2.03956938364372e-05,1.59379112504166e-06
1,10,"NW",6.08620875574414e-05,3.47820715428914e-06,6.08590377508947e-05,5.01871795506778e-06
1,14,"LL",1.43661541357606e-05,8.79336721522507e-07,1.44099823385535e-05,1.03726954698032e-06
1,14,"NW",3.11116404831255e-05,2.06262875692743e-06,3.10651557282518e-05,3.13218501736147e-06
1,20,"LL",1.08841676603215e-05,6.22505539240047e-07,1.08297401294244e-05,7.13220636087906e-07
1,20,"NW",1.81745857513861e-05,1.23421139998466e-06,1.80194486333425e-05,1.82304402806983e-06
2,7,"LL",4.02622633000728e-05,1.66272853395498e-06,4.03678148923667e-05,2.2648324283685e-06
2,7,"NW",0.000231465439188267,1.48124169867951e-05,0.000229487431252934,2.3787895272248e-05
2,10,"LL",3.45375944340023e-05,1.25918899868724e-06,3.45425056060137e-05,1.38148148088082e-06
2,10,"NW",0.000182892641408098,1.00471969929131e-05,0.00018301837184153,1.53885808640203e-05
2,14,"LL",2.38282074941993e-05,1.00158819365642e-06,2.38359368546165e-05,1.28317256431704e-06
2,14,"NW",0.000123768114866403,6.46029857852852e-06,0.000124128393634041,8.52960180332133e-06
2,20,"LL",1.37479194462028e-05,6.82546698610905e-07,1.38279589231153e-05,9.1114852072361e-07
2,20,"NW",6.47037537759347e-05,3.87657393450784e-06,6.4305607156408e-05,5.05883036035397e-06
3,7,"LL",0.000214664771145438,7.59096602132808e-06,0.000214736615031882,1.12924684057773e-05
3,7,"NW",0.000746442243763247,4.21735431701617e-05,0.000743435102522977,5.47417964391406e-05
3,10,"LL",0.000132813738515776,5.04711212637734e-06,0.000133328264584129,5.93722180972333e-06
3,10,"NW",0.000522664253244344,2.78452745168092e-05,0.000518747493042717,3.48800196455003e-05
3,14,"LL",8.97717532516875e-05,3.31717449967646e-06,8.97416345115921e-05,4.12345282027946e-06
3,14,"NW",0.000323642184805887,1.61994956641495e-05,0.000321229943727244,2.38517443318581e-05
3,20,"LL",5.83579159091744e-05,2.10312475593491e-06,5.84492289689704e-05,2.39158877796628e-06
3,20,"NW",0.000191434698725648,1.2215181411692e-05,0.000192071037671789,1.57459003565387e-05
4,7,"LL",0.000597892381081409,5.19462893256249e-05,0.000592065848000877,7.57076113270475e-05
4,7,"NW",0.00145211790412513,0.000121666249633448,0.00146126703474396,0.000162373939150868
4,10,"LL",0.0003510768350942,3.04083114890059e-05,0.000348726594166286,4.08757063278132e-05
4,10,"NW",0.000899298685887792,9.29796904566592e-05,0.000905275824323813,0.000123549593654862
4,14,"LL",0.000239177053353834,1.9176099892304e-05,0.000237675031583593,2.60379122175361e-05
4,14,"NW",0.000520480603122739,5.21498392669667e-05,0.000515718851955702,6.4332448728676e-05
4,20,"LL",0.000149073594689536,1.39569564489232e-05,0.000146645477270314,2.00466634541216e-05
4,20,"NW",0.000287416912490762,3.06357118913066e-05,0.000287581743982703,4.23698230497415e-05
5,7,"LL",0.00086180421858462,4.02635460170806e-05,0.00086093615534714,5.01549259094158e-05
5,7,"NW",0.00317236209492263,0.000212374036132724,0.0031642766581214,0.00028790885729343
5,10,"LL",0.000589722987313238,2.59419412307215e-05,0.000589180459669848,3.52858273584126e-05
5,10,"NW",0.00197747683227896,0.000115627604527487,0.00197393537802318,0.00013246418641916
5,14,"LL",0.000393341532832484,1.67296199977011e-05,0.000395590765753589,2.16420094805488e-05
5,14,"NW",0.00109111598764541,7.27219947347385e-05,0.00107498838582001,0.000101841753362532
5,20,"LL",0.000258152794781789,1.08407403818419e-05,0.00025789237605509,1.37735214992556e-05
5,20,"NW",0.000620656990069809,3.85457235540436e-05,0.000617899767054683,4.78062588575975e-05
6,7,"LL",0.000390599099408594,1.68726347418316e-05,0.000387597934351061,2.20764246673074e-05
6,7,"NW",0.0019271666861886,0.000136399339228097,0.00192728048179468,0.000165993823254075
6,10,"LL",0.00023722151226057,1.10791257617161e-05,0.000238259431687821,1.17792336351896e-05
6,10,"NW",0.0012034844691332,8.0065210960106e-05,0.00119916151411344,0.000113273377011
6,14,"LL",0.000146019437319678,6.54741452490606e-06,0.000145763133976506,8.16321975307841e-06
6,14,"NW",0.000666225124320112,4.21906689808746e-05,0.000667500737066405,5.39585797605838e-05
6,20,"LL",9.33663682742193e-05,4.48645367544766e-06,9.31842018958644e-05,6.28545573306114e-06
6,20,"NW",0.000387053229941616,2.32665158633374e-05,0.000384216903623744,3.48618296053322e-05
