"j","k","method","mean_ISE_MC","sd_ISE_MC","median_ISE_MC","IQR_ISE_MC"
1,7,"LL",5.52388625785898e-05,2.44265130906372e-06,5.52768617360949e-05,3.47156089204227e-06
1,7,"NW",0.000245708456009254,9.89031090837127e-06,0.00024635318630616,1.23116117059861e-05
1,10,"LL",3.92161232288094e-05,1.88219136761373e-06,3.9199630079015e-05,2.51917514862926e-06
1,10,"NW",0.000132505347192274,5.904618091277e-06,0.000132510657669167,7.66254274938346e-06
1,14,"LL",2.85087559495179e-05,1.20247246987194e-06,2.84887226510008e-05,1.73862899153346e-06
1,14,"NW",7.57964361538158e-05,3.5516376178193e-06,7.56350413146585e-05,4.80253276084621e-06
1,20,"LL",2.12407863786351e-05,1.02868618986713e-06,2.13224693821152e-05,1.23785051312865e-06
1,20,"NW",4.57200840944404e-05,2.21793794206223e-06,4.55719875303522e-05,2.60995857772079e-06
2,7,"LL",6.50553800158966e-05,2.50709076700182e-06,6.52757680302563e-05,3.02012386934896e-06
2,7,"NW",0.000472491195153521,2.00769966437854e-05,0.000471549414098865,2.69462960568668e-05
2,10,"LL",5.83819585281655e-05,2.58546544211909e-06,5.85226118375608e-05,3.91688204326324e-06
2,10,"NW",0.00032603479984223,1.51739347492237e-05,0.000325017130827883,1.94318419678167e-05
2,14,"LL",4.2639769156927e-05,1.93497341651483e-06,4.26647344260032e-05,2.46915036765913e-06
2,14,"NW",0.000226063230572036,1.068552057686e-05,0.000225909998826315,1.34080373956644e-05
2,20,"LL",2.53302379054449e-05,1.10746217221832e-06,2.55125600527813e-05,1.58647365920015e-06
2,20,"NW",0.00013284184800847,6.99543499521556e-06,0.000132873561929074,1.01248438577986e-05
3,7,"LL",0.000315207713426945,1.22135165211753e-05,0.000314764628485024,1.71252965200374e-05
3,7,"NW",0.00139486593524384,5.84822539151519e-05,0.00139750856314828,7.72850074304799e-05
3,10,"LL",0.000197569970148096,8.19027788150017e-06,0.000197941746448618,1.09387285927124e-05
3,10,"NW",0.000851444376507482,4.95030021908386e-05,0.000845182154325664,7.77317340992282e-05
3,14,"LL",0.000134813795395066,5.47655770042972e-06,0.00013496410923967,5.99101769279732e-06
3,14,"NW",0.000572391136987917,3.06985914755373e-05,0.000569674124270025,4.46678427136195e-05
3,20,"LL",9.02166012139062e-05,3.74797373696582e-06,9.02905271993207e-05,5.57264343264941e-06
3,20,"NW",0.000380789202281344,1.77212547559571e-05,0.000377831520983143,2.21649078209325e-05
4,7,"LL",0.0012586555244488,6.92199961389976e-05,0.00125871988160409,9.47485871759328e-05
4,7,"NW",0.00362826780144808,0.000181908557775064,0.00359947388414152,0.000217810434028275
4,10,"LL",0.000854996388716774,5.05023354241557e-05,0.00085459691737665,6.67890641947877e-05
4,10,"NW",0.00236486958641858,0.000129492418489183,0.00236392496225899,0.000153182361276251
4,14,"LL",0.000638874060519248,4.10639314450418e-05,0.000634151193482136,5.23278176482833e-05
4,14,"NW",0.00167474462564358,9.99701561578899e-05,0.00167884332634054,0.00011118243394587
4,20,"LL",0.000447485610084365,2.63196208318672e-05,0.000446002590003886,3.90087165482946e-05
4,20,"NW",0.00112062869958268,6.79055542487147e-05,0.0011206557875115,8.98262425011302e-05
5,7,"LL",0.00114014526860379,5.92259257741341e-05,0.00113239022583377,8.14655967384208e-05
5,7,"NW",0.00661592511083841,0.000369713852375361,0.00659885168738212,0.000472463001896745
5,10,"LL",0.000790015887519718,3.81535500411902e-05,0.000792458039714873,4.65773583984581e-05
5,10,"NW",0.00383407649153209,0.000208846575481157,0.00383494003914876,0.000257898220619154
5,14,"LL",0.000531081696795916,2.5912174710746e-05,0.000530841071050655,3.54871350933886e-05
5,14,"NW",0.00231488307319215,0.000122307639104302,0.00230429489224516,0.000163765618687584
5,20,"LL",0.000348685525284314,1.49941952723033e-05,0.000347962594243442,2.28437855493232e-05
5,20,"NW",0.00143910876203691,7.62814915739789e-05,0.00143826768097101,9.12597047206657e-05
6,7,"LL",0.000731374742656716,2.49011182976036e-05,0.000729803727022288,3.51282073035665e-05
6,7,"NW",0.00408232134988575,0.000178967431136036,0.00405477822680214,0.000255395657257549
6,10,"LL",0.000483230847172097,1.68873652342528e-05,0.000483530295859358,2.00814946692938e-05
6,10,"NW",0.00237717807672122,0.000123400757234947,0.00234804190999248,0.00015903755376549
6,14,"LL",0.000318383324609818,1.21215641188743e-05,0.000318976045932964,1.78371978201529e-05
6,14,"NW",0.00141000360502297,7.90835363946778e-05,0.00141350966309812,0.00010767442884214
6,20,"LL",0.000217789066434021,8.97330420972889e-06,0.000218630661201202,1.36457250405563e-05
6,20,"NW",0.00088699587067437,4.9569693908441e-05,0.000882838093018862,5.65747269005945e-05
