"j","k","method","mean_ISE_MC","sd_ISE_MC","median_ISE_MC","IQR_ISE_MC"
1,7,"LL",0.000124373618421419,5.1949367236462e-05,0.000110909242611448,7.30277384221737e-05
1,7,"NW",0.000472840109423462,0.000159579945351998,0.000440074255053564,0.000199627650480677
1,10,"LL",5.90300360125983e-05,2.32771021297532e-05,5.38685446590955e-05,1.75063628896909e-05
1,10,"NW",0.000341463633433807,9.0961855250575e-05,0.000334850749099765,0.000112701316919085
1,14,"LL",3.49125813030218e-05,8.06222920024608e-06,3.26989965560762e-05,9.02829911044724e-06
1,14,"NW",0.000292510744936764,6.07686054903691e-05,0.000286121561997953,7.12408193903022e-05
1,20,"LL",2.44847030212487e-05,3.75768235931345e-06,2.42342651203105e-05,5.08779811063117e-06
1,20,"NW",0.000263444593949014,4.12842839706822e-05,0.000259138335930962,5.21416393708006e-05
2,7,"LL",5.8151492207785e-05,1.6630836725383e-05,5.56036444620329e-05,2.87123821956996e-05
2,7,"NW",0.0013734323229568,0.000550085086615221,0.00128918520265476,0.000593431086504783
2,10,"LL",3.29017073330421e-05,7.14048134010892e-06,3.21136834372164e-05,9.92304886137468e-06
2,10,"NW",0.00107858863416229,0.000300080822079473,0.0010552816278341,0.00033855143744872
2,14,"LL",2.12888672115467e-05,3.66769187792469e-06,2.13135354742214e-05,4.83809361663884e-06
2,14,"NW",0.000837722390405277,0.00022151417689512,0.000802649420039968,0.000262157398137263
2,20,"LL",1.31291738782369e-05,1.85130606396736e-06,1.28317038383127e-05,3.16478264980004e-06
2,20,"NW",0.000779776997464807,0.000139362167223946,0.000758286476607417,0.000153767141349942
3,7,"LL",0.000278545939078029,7.60638625708255e-05,0.000266307860768783,0.000107619351621295
3,7,"NW",0.0044460145645818,0.00164265713400138,0.00405113879907341,0.00197405422019824
3,10,"LL",0.000168232861967349,3.93367031897198e-05,0.000160562464762266,4.49524206280181e-05
3,10,"NW",0.00326336432920999,0.000831570962166639,0.00318575448064572,0.00103856018159621
3,14,"LL",0.000101547584962806,1.74509084377925e-05,9.91258529474562e-05,2.22881039365943e-05
3,14,"NW",0.00286862909765052,0.000680159086067112,0.00283138543485387,0.000957304971420405
3,20,"LL",6.57458269734028e-05,8.34412228218581e-06,6.51063625779885e-05,1.16089788775475e-05
3,20,"NW",0.00251192272754653,0.000399393024122127,0.0024776449870298,0.000589352185733905
4,7,"LL",0.00061644347385706,0.000163341210268937,0.000582035729198775,0.000206838552834889
4,7,"NW",0.00373415698109788,0.00135801808855649,0.00347093672547981,0.00140719499793387
4,10,"LL",0.000362101359400572,7.08276642826492e-05,0.000349818869160107,8.95146750983688e-05
4,10,"NW",0.00285627357610389,0.000917801785395404,0.00273657658025072,0.00112019287342498
4,14,"LL",0.0002270569644303,3.93976933734343e-05,0.000222091135480517,4.6174853790071e-05
4,14,"NW",0.00250489723639433,0.000662852683100603,0.0024835840920561,0.000679207916968324
4,20,"LL",0.000165183642818859,2.00221728278669e-05,0.000161856431965159,2.62599639836132e-05
4,20,"NW",0.00224178547009175,0.000350807419011175,0.00220979252076914,0.000457049174533606
5,7,"LL",0.00123185236038447,0.000359835270656681,0.00115608805161122,0.000506508664180597
5,7,"NW",0.0148316275406466,0.00564358480672594,0.0136888380250631,0.00652210923753195
5,10,"LL",0.000748460472346891,0.000186745478453984,0.000721516582748315,0.000244209263285855
5,10,"NW",0.0109198085076606,0.0032419182524461,0.0103001682391296,0.00454894563011862
5,14,"LL",0.000481018635688381,7.56822284118033e-05,0.000474048347687947,0.000100182538724706
5,14,"NW",0.00909861480838896,0.00225703709102289,0.00886507421242244,0.00224842979500291
5,20,"LL",0.000298400258314778,3.17886320500282e-05,0.000293595409199642,4.79402167891566e-05
5,20,"NW",0.00830324382706311,0.0013596966980065,0.00835821295335538,0.00171584685803188
6,7,"LL",0.000596318833877803,0.000218253249295639,0.000575009726680332,0.000282580426012925
6,7,"NW",0.00850931608682172,0.00311092999168602,0.00773749089940086,0.003400102669109
6,10,"LL",0.000326975617630063,8.48567630396808e-05,0.000309964554046342,9.41349054866722e-05
6,10,"NW",0.00649200410189063,0.00194891979494366,0.00623671300372554,0.00282220649278441
6,14,"LL",0.000188698370344493,3.53360438172957e-05,0.000186548686307544,4.93861496679769e-05
6,14,"NW",0.0053409342364252,0.00127909505702499,0.0052630125722241,0.00173088231122931
6,20,"LL",0.000111525728912947,1.56140199384343e-05,0.000108297440400404,2.22528189177318e-05
6,20,"NW",0.00506008464033652,0.000829196627885066,0.00502455036245855,0.00115473331643676
