"j","k","method","mean_ISE_MC","sd_ISE_MC","median_ISE_MC","IQR_ISE_MC"
1,7,"GM",0.00270539383793663,NA,0.00270539383793663,0
1,7,"LL",4.05088986059679e-05,NA,4.05088986059679e-05,0
1,7,"NW",0.000213833319267893,NA,0.000213833319267893,0
1,10,"GM",0.00245132837067043,NA,0.00245132837067043,0
1,10,"LL",3.38202513519536e-05,NA,3.38202513519536e-05,0
1,10,"NW",0.000151163319716435,NA,0.000151163319716435,0
1,14,"GM",0.00278745949501863,NA,0.00278745949501863,0
1,14,"LL",2.29621801342516e-05,NA,2.29621801342516e-05,0
1,14,"NW",0.000112616599184574,NA,0.000112616599184574,0
2,7,"GM",0.00902050586260881,NA,0.00902050586260881,0
2,7,"LL",0.000200912167142348,NA,0.000200912167142348,0
2,7,"NW",0.000743641879981877,NA,0.000743641879981877,0
2,10,"GM",0.0093067928617479,NA,0.0093067928617479,0
2,10,"LL",0.000131534898764417,NA,0.000131534898764417,0
2,10,"NW",0.000449345458666155,NA,0.000449345458666155,0
2,14,"GM",0.0100366142528206,NA,0.0100366142528206,0
2,14,"LL",9.11080020013673e-05,NA,9.11080020013673e-05,0
2,14,"NW",0.00034497365317013,NA,0.00034497365317013,0
3,7,"GM",0.0102190240604704,NA,0.0102190240604704,0
3,7,"LL",0.000593289532667521,NA,0.000593289532667521,0
3,7,"NW",0.00130649615684154,NA,0.00130649615684154,0
3,10,"GM",0.0083142971359207,NA,0.0083142971359207,0
3,10,"LL",0.000346780594478078,NA,0.000346780594478078,0
3,10,"NW",0.000806788214090066,NA,0.000806788214090066,0
3,14,"GM",0.0112263371136362,NA,0.0112263371136362,0
3,14,"LL",0.000218445028719562,NA,0.000218445028719562,0
3,14,"NW",0.00049658655331926,NA,0.00049658655331926,0
