"j","k","method","ISE_MC"
1,7,"LL",0.000104444250314229
1,7,"NW",0.00060228952472735
1,10,"LL",0.000102380955485179
1,10,"NW",0.000514059514949749
1,14,"LL",4.84197266728688e-05
1,14,"NW",0.000385954877305764
1,20,"LL",2.38278198296762e-05
1,20,"NW",0.00031766389460468
2,7,"LL",4.60688606020428e-05
2,7,"NW",0.00190765547237099
2,10,"LL",2.8417068907083e-05
2,10,"NW",0.0014433871470508
2,14,"LL",2.26650187284654e-05
2,14,"NW",0.000875854457947189
2,20,"LL",1.09916058655428e-05
2,20,"NW",0.000806255478063901
3,7,"LL",0.000315104827241559
3,7,"NW",0.00719360736553926
3,10,"LL",0.000164755580945558
3,10,"NW",0.0042735159550168
3,14,"LL",0.000101531478320769
3,14,"NW",0.0024354904019456
3,20,"LL",5.31390893265904e-05
3,20,"NW",0.00285856062137764
4,7,"LL",0.000779930752466249
4,7,"NW",0.00345375642306209
4,10,"LL",0.000287765663128402
4,10,"NW",0.00168269901001686
4,14,"LL",0.000208703477304056
4,14,"NW",0.00188948270738968
4,20,"LL",0.000161000577037676
4,20,"NW",0.00230071956336244
5,7,"LL",0.00165262740555856
5,7,"NW",0.013784074053009
5,10,"LL",0.000715494711230674
5,10,"NW",0.0138477199949969
5,14,"LL",0.000465015618823797
5,14,"NW",0.00809732957964813
5,20,"LL",0.000268209966174635
5,20,"NW",0.00922885479467618
6,7,"LL",0.00111428626071937
6,7,"NW",0.00570939425512956
6,10,"LL",0.000410681293410855
6,10,"NW",0.00382929010305927
6,14,"LL",0.00015920334825527
6,14,"NW",0.0071878368010873
6,20,"LL",0.000102418460046897
6,20,"NW",0.00405947305650183
1,7,"LL",0.000185853940432236
1,7,"NW",0.000453858292389944
1,10,"LL",8.08248127720089e-05
1,10,"NW",0.000242769338038872
1,14,"LL",3.09233488334581e-05
1,14,"NW",0.000339237209843999
1,20,"LL",1.88103589048124e-05
1,20,"NW",0.000196680298721101
2,7,"LL",7.96944338227311e-05
2,7,"NW",0.000736837058514265
2,10,"LL",2.6537968432909e-05
2,10,"NW",0.00091814660148875
2,14,"LL",1.73785593144768e-05
2,14,"NW",0.000733430135942865
2,20,"LL",1.47043646160412e-05
2,20,"NW",0.00062091516217581
3,7,"LL",0.000265243804855555
3,7,"NW",0.00321302990373497
3,10,"LL",0.000170089779598744
3,10,"NW",0.00322155349873751
3,14,"LL",0.000107791164669797
3,14,"NW",0.00342786252556116
3,20,"LL",5.44460334330594e-05
3,20,"NW",0.00266032450118085
4,7,"LL",0.00111853538223474
4,7,"NW",0.00387425588508418
4,10,"LL",0.000470148684580555
4,10,"NW",0.00195986476894559
4,14,"LL",0.000271809893055423
4,14,"NW",0.00269102745151501
4,20,"LL",0.000188787430097068
4,20,"NW",0.00244003727207249
5,7,"LL",0.000845142719729749
5,7,"NW",0.0134394016694981
5,10,"LL",0.000700057318674439
5,10,"NW",0.00715860333330256
5,14,"LL",0.000536892455509276
5,14,"NW",0.0102513510092438
5,20,"LL",0.000328317432162825
5,20,"NW",0.00872559829438394
6,7,"LL",0.000478350245928728
6,7,"NW",0.00565497288577915
6,10,"LL",0.000475252463466681
6,10,"NW",0.00566519297911923
6,14,"LL",0.000119265953751553
6,14,"NW",0.00735239093082935
6,20,"LL",8.70170124539397e-05
6,20,"NW",0.0054063430269869
1,7,"LL",0.000114889843254962
1,7,"NW",0.000454619144101969
1,10,"LL",4.61606147344924e-05
1,10,"NW",0.000426820518267943
1,14,"LL",2.79787315437773e-05
1,14,"NW",0.000236818427105736
1,20,"LL",1.93335237742215e-05
1,20,"NW",0.000231199845945569
2,7,"LL",7.71199721033032e-05
2,7,"NW",0.00175315947371889
2,10,"LL",3.41324216705323e-05
2,10,"NW",0.000887195568844896
2,14,"LL",1.9097773299803e-05
2,14,"NW",0.000626331005747289
2,20,"LL",1.39896127506735e-05
2,20,"NW",0.000631831462804757
3,7,"LL",0.000375372033768333
3,7,"NW",0.00545943594568751
3,10,"LL",0.000159163204994919
3,10,"NW",0.00309477191951515
3,14,"LL",8.03328258581673e-05
3,14,"NW",0.0030167254108706
3,20,"LL",6.75311168423144e-05
3,20,"NW",0.00220788388054968
4,7,"LL",0.000568249215218794
4,7,"NW",0.00443858877211109
4,10,"LL",0.000315959367922576
4,10,"NW",0.00374690112175408
4,14,"LL",0.000213748868987716
4,14,"NW",0.002703920681625
4,20,"LL",0.000156046503005877
4,20,"NW",0.00178371020999689
5,7,"LL",0.00115667624919323
5,7,"NW",0.0189817739641572
5,10,"LL",0.00087261175863275
5,10,"NW",0.0126494106895829
5,14,"LL",0.00056128055119537
5,14,"NW",0.0065947805028742
5,20,"LL",0.000253180177007697
5,20,"NW",0.00916305200568711
6,7,"LL",0.000738890803960651
