"j","k","method","ISE_MC"
1,7,"GM",0.00144004605281443
1,7,"LL",0.000273010634445045
1,7,"NW",0.000803904905076499
1,10,"GM",0.00108755798516278
1,10,"LL",0.00017446068094144
1,10,"NW",0.000614454745045546
1,14,"GM",0.00066117269029013
1,14,"LL",0.000109469154116393
1,14,"NW",0.000365339505654243
2,7,"GM",0.00575232108119459
2,7,"LL",0.00086747668474127
2,7,"NW",0.0031336541331728
2,10,"GM",0.00462976041926828
2,10,"LL",0.000606538021215383
2,10,"NW",0.00196455744399547
2,14,"GM",0.00365143369427167
2,14,"LL",0.000409767242719037
2,14,"NW",0.00114590114370168
3,7,"GM",0.0035717123295143
3,7,"LL",0.000390554852138478
3,7,"NW",0.00178576638616749
3,10,"GM",0.00272076295903173
3,10,"LL",0.000235062930856976
3,10,"NW",0.00125581272834667
3,14,"GM",0.00221492070703473
3,14,"LL",0.0001400861974105
3,14,"NW",0.00062700909923381
1,7,"GM",0.001322578847127
1,7,"LL",0.000288156220270987
1,7,"NW",0.000885511584527692
1,10,"GM",0.000933592525882387
1,10,"LL",0.000158652071555838
1,10,"NW",0.000556992575098337
1,14,"GM",0.00112822286430923
1,14,"LL",0.000116264602827886
1,14,"NW",0.000391228043334542
2,7,"GM",0.00629791440148912
2,7,"LL",0.000916140097867754
2,7,"NW",0.00333563016102644
2,10,"GM",0.00429078541853869
2,10,"LL",0.000577279698997087
2,10,"NW",0.00219730116333256
2,14,"GM",0.00396051213554345
2,14,"LL",0.000397411145482272
2,14,"NW",0.00112225765334138
3,7,"GM",0.00342338494024917
3,7,"LL",0.00042940199253365
3,7,"NW",0.00210524229225976
3,10,"GM",0.00269571828424895
3,10,"LL",0.000257077759520172
3,10,"NW",0.00124994121523818
3,14,"GM",0.00400807473417602
3,14,"LL",0.000142341429623245
3,14,"NW",0.000687391539842444
1,7,"GM",0.00123404988105469
1,7,"LL",0.000286124229935834
1,7,"NW",0.000908514353052269
1,10,"GM",0.00104831925178876
1,10,"LL",0.000182965091340288
1,10,"NW",0.000540057779738147
1,14,"GM",0.000773460822399916
1,14,"LL",0.000105683464485737
1,14,"NW",0.000367445552065711
2,7,"GM",0.0056049444161938
2,7,"LL",0.000803138838046175
2,7,"NW",0.00350099309960687
2,10,"GM",0.00442304404838992
2,10,"LL",0.000603795237276877
2,10,"NW",0.00209400804668341
2,14,"GM",0.00379622458887518
2,14,"LL",0.000375929705447384
2,14,"NW",0.00130243147207649
3,7,"GM",0.00353055872895478
3,7,"LL",0.000398825025804997
3,7,"NW",0.00193071784655536
3,10,"GM",0.00367834013696056
3,10,"LL",0.000237566084489445
3,10,"NW",0.00119828618389015
3,14,"GM",0.00239307293818737
3,14,"LL",0.000157256787839011
3,14,"NW",0.000633015746882188
1,7,"GM",0.00143475579779924
1,7,"LL",0.000296286229080185
1,7,"NW",0.000826476727974456
1,10,"GM",0.000899828773260909
1,10,"LL",0.000181355292979121
1,10,"NW",0.000641861598170142
1,14,"GM",0.000922136864209798
1,14,"LL",0.00010057673385416
1,14,"NW",0.00037924683799777
2,7,"GM",0.0055773910287334
2,7,"LL",0.000866460895981441
2,7,"NW",0.00330780884669396
2,10,"GM",0.00464638482996258
2,10,"LL",0.000596246792736376
2,10,"NW",0.00212226327605541
2,14,"GM",0.00419639104411346
2,14,"LL",0.000414034392933208
2,14,"NW",0.00113987060096457
3,7,"GM",0.00373006378868327
3,7,"LL",0.000394336384716574
3,7,"NW",0.00190232243134003
3,10,"GM",0.00509027303030972
3,10,"LL",0.000249634436407727
3,10,"NW",0.00120422174401706
3,14,"GM",0.00219308193354769
3,14,"LL",0.00015622594909709
3,14,"NW",0.000579647354884169
1,7,"GM",0.001578023177482
1,7,"LL",0.000289561453038146
1,7,"NW",0.000826197314999227
1,10,"GM",0.00103850134716953
1,10,"LL",0.000164615859521634
1,10,"NW",0.000631746445566748
1,14,"GM",0.000823380597349188
1,14,"LL",0.000113467924293441
1,14,"NW",0.000385360486030959
2,7,"GM",0.00479321642541973
2,7,"LL",0.000872020438570112
2,7,"NW",0.0033224648544473
2,10,"GM",0.0045804275702423
2,10,"LL",0.000607363333030599
2,10,"NW",0.00205515057185571
2,14,"GM",0.004190546025741
2,14,"LL",0.00038951258587651
2,14,"NW",0.00107629427483419
3,7,"GM",0.00355037863143797
3,7,"LL",0.000388118945772595
3,7,"NW",0.00197910018466279
3,10,"GM",0.00331486516611352
3,10,"LL",0.000237080520203348
3,10,"NW",0.00122205572183139
3,14,"GM",0.00228833010427141
3,14,"LL",0.000150462990998529
3,14,"NW",0.000656348956404948
1,7,"GM",0.00125604822676761
1,7,"LL",0.000289811294688066
1,7,"NW",0.000917469636678299
1,10,"GM",0.000993743104261004
1,10,"LL",0.000171657937426259
1,10,"NW",0.00058914817200852
1,14,"GM",0.000940353607933669
1,14,"LL",0.000114620494530203
1,14,"NW",0.000389893482899159
2,7,"GM",0.00550814044344568
2,7,"LL",0.000808221651923784
2,7,"NW",0.00285791332746196
2,10,"GM",0.00453139777321488
2,10,"LL",0.000569942326695991
2,10,"NW",0.00193934696678489
2,14,"GM",0.00417267719746842
2,14,"LL",0.000405866096513196
2,14,"NW",0.00102900002770476
3,7,"GM",0.00335947680468028
3,7,"LL",0.000386686941329664
3,7,"NW",0.00180665364987937
3,10,"GM",0.00275219598723558
3,10,"LL",0.000240826380997085
3,10,"NW",0.00117704596336702
3,14,"GM",0.00219404094755997
3,14,"LL",0.0001451785369563
3,14,"NW",0.000632946259727622
1,7,"GM",0.00132855918843853
1,7,"LL",0.000264738134506404
1,7,"NW",0.000893599010062309
1,10,"GM",0.0009829346700266
1,10,"LL",0.000185219530719029
1,10,"NW",0.000582227751483761
1,14,"GM",0.000684756546718965
1,14,"LL",0.000111130367890599
1,14,"NW",0.000403666551629933
2,7,"GM",0.00556068792160336
2,7,"LL",0.000815389887576078
2,7,"NW",0.00292877578656156
2,10,"GM",0.00450476945935437
2,10,"LL",0.000598226388609524
2,10,"NW",0.00197315339004389
2,14,"GM",0.0043018551403369
2,14,"LL",0.000374868541475906
2,14,"NW",0.00113352449369766
3,7,"GM",0.00541796895193743
3,7,"LL",0.000389318358504585
3,7,"NW",0.00195269928350299
3,10,"GM",0.00278169134064065
3,10,"LL",0.000228208159397365
3,10,"NW",0.00113885184644294
3,14,"GM",0.00220888426104873
3,14,"LL",0.000139622266392349
3,14,"NW",0.000638088129460279
1,7,"GM",0.00132728088470018
1,7,"LL",0.000284808593876698
1,7,"NW",0.000921851750480698
1,10,"GM",0.00101943123910099
1,10,"LL",0.00016354081938924
1,10,"NW",0.000589812372622415
1,14,"GM",0.000880035093441305
1,14,"LL",0.000120719955788371
1,14,"NW",0.000398794539799181
2,7,"GM",0.00560988948158762
2,7,"LL",0.000862376991151504
2,7,"NW",0.00284410577336599
2,10,"GM",0.00402742846423494
2,10,"LL",0.000606338736011299
2,10,"NW",0.00218752880396414
2,14,"GM",0.00379104595005305
2,14,"LL",0.000406197969914765
2,14,"NW",0.00108299569795976
3,7,"GM",0.00395226706240058
3,7,"LL",0.000370429260626355
3,7,"NW",0.00213810529967822
3,10,"GM",0.00261660435277924
3,10,"LL",0.000257590488534035
3,10,"NW",0.00132352079062652
3,14,"GM",0.00246649544696268
3,14,"LL",0.000138264713998024
3,14,"NW",0.000674760566749322
1,7,"GM",0.00134534438274543
1,7,"LL",0.000283630782834435
1,7,"NW",0.000936212978665739
1,10,"GM",0.000981633548689694
1,10,"LL",0.000168317278907122
1,10,"NW",0.000565195352082111
1,14,"GM",0.000877884074811358
1,14,"LL",0.000108825913111681
1,14,"NW",0.000372441212028047
2,7,"GM",0.00588380271284409
2,7,"LL",0.000822741786759762
2,7,"NW",0.00302942583878601
2,10,"GM",0.00458187973849551
2,10,"LL",0.000582141599750224
2,10,"NW",0.00199192161787458
2,14,"GM",0.00442700491283925
2,14,"LL",0.000378167903107004
2,14,"NW",0.00111704663810559
3,7,"GM",0.004589838402684
3,7,"LL",0.000369785048314364
3,7,"NW",0.00170018301352761
3,10,"GM",0.0028123824892055
3,10,"LL",0.000227350818700097
3,10,"NW",0.00124683844785932
3,14,"GM",0.00229520785027593
3,14,"LL",0.000161292006252322
3,14,"NW",0.000629828413679074
1,7,"GM",0.00142447539243218
1,7,"LL",0.000297601267839769
1,7,"NW",0.000970113819134019
1,10,"GM",0.000975426283044809
1,10,"LL",0.000177564938806639
1,10,"NW",0.000573378708239974
1,14,"GM",0.000858430736290291
1,14,"LL",0.000111376693090513
1,14,"NW",0.000387953518598626
2,7,"GM",0.00527598876916553
2,7,"LL",0.000872567052219198
2,7,"NW",0.00322251534936855
2,10,"GM",0.00416459459060796
2,10,"LL",0.00060177170448213
2,10,"NW",0.00233311976843617
2,14,"GM",0.00357664085149074
2,14,"LL",0.00037166641306228
2,14,"NW",0.000982922241421748
3,7,"GM",0.00370660731381187
