"j","k","method","ISE_MC"
1,7,"GM",0.00270539383793663
1,7,"LL",4.05088986059679e-05
1,7,"NW",0.000213833319267893
1,10,"GM",0.00245132837067043
1,10,"LL",3.38202513519536e-05
1,10,"NW",0.000151163319716435
1,14,"GM",0.00278745949501863
1,14,"LL",2.29621801342516e-05
1,14,"NW",0.000112616599184574
2,7,"GM",0.00902050586260881
2,7,"LL",0.000200912167142348
2,7,"NW",0.000743641879981877
2,10,"GM",0.0093067928617479
2,10,"LL",0.000131534898764417
2,10,"NW",0.000449345458666155
2,14,"GM",0.0100366142528206
2,14,"LL",9.11080020013673e-05
2,14,"NW",0.00034497365317013
3,7,"GM",0.0102190240604704
3,7,"LL",0.000593289532667521
3,7,"NW",0.00130649615684154
3,10,"GM",0.0083142971359207
3,10,"LL",0.000346780594478078
3,10,"NW",0.000806788214090066
3,14,"GM",0.0112263371136362
3,14,"LL",0.000218445028719562
3,14,"NW",0.00049658655331926
